model,task,route_family,subspace_dim,budget_mode,n,rho_mean,movement_mean,safe_rate,minimal_energy_median
Qwen/Qwen2.5-0.5B,ambiguous_prompt,delta_pca,1,same_epsilon,12,0.24818149366454711,0.009905474023062598,0.4166666666666667,0.0006034606948890816
Qwen/Qwen2.5-0.5B,ambiguous_prompt,delta_pca,1,same_fisher_output_energy,12,0.24818149366454711,0.09746300347314207,0.4166666666666667,0.0025000000000000005
Qwen/Qwen2.5-0.5B,ambiguous_prompt,delta_pca,2,same_epsilon,12,0.7086590267688826,0.014512669628317017,0.5,0.00034428522064406503
Qwen/Qwen2.5-0.5B,ambiguous_prompt,delta_pca,2,same_fisher_output_energy,12,0.7086590267688826,0.11296630604498321,0.5,0.0015625000000000003
Qwen/Qwen2.5-0.5B,ambiguous_prompt,delta_pca,4,same_epsilon,12,0.9284156941591267,0.013584653041329685,0.5,0.0002456812138211913
Qwen/Qwen2.5-0.5B,ambiguous_prompt,delta_pca,4,same_fisher_output_energy,12,0.9284156941591267,0.15017941641439153,0.6666666666666666,0.0006250000000000001
Qwen/Qwen2.5-0.5B,ambiguous_prompt,random,1,same_epsilon,12,0.1872723004080903,0.0038799580850985074,0.08333333333333333,0.00018549642267754046
Qwen/Qwen2.5-0.5B,ambiguous_prompt,random,1,same_fisher_output_energy,12,0.1872723004080903,0.08283296154669091,0.25,0.0025000000000000005
Qwen/Qwen2.5-0.5B,ambiguous_prompt,random,2,same_epsilon,12,0.6518291025485776,0.008213547845609875,0.25,0.00032789292673634867
Qwen/Qwen2.5-0.5B,ambiguous_prompt,random,2,same_fisher_output_energy,12,0.6518291025485776,0.10610987579500386,0.5833333333333334,0.0006250000000000001
Qwen/Qwen2.5-0.5B,ambiguous_prompt,random,4,same_epsilon,12,0.875323783327052,0.01171184168299367,0.4166666666666667,0.0003875328330866109
Qwen/Qwen2.5-0.5B,ambiguous_prompt,random,4,same_fisher_output_energy,12,0.875323783327052,0.14844908170978968,0.75,0.0006250000000000001
Qwen/Qwen2.5-0.5B,ambiguous_prompt,state_pca,1,same_epsilon,12,0.4641646366670482,0.012395343388258257,0.5833333333333334,0.00023782010581207037
Qwen/Qwen2.5-0.5B,ambiguous_prompt,state_pca,1,same_fisher_output_energy,12,0.4641646366670482,0.15366237315437256,0.75,0.0006250000000000001
Qwen/Qwen2.5-0.5B,ambiguous_prompt,state_pca,2,same_epsilon,12,0.711196694792256,0.012621770371360539,0.5,0.00019287191089080035
Qwen/Qwen2.5-0.5B,ambiguous_prompt,state_pca,2,same_fisher_output_energy,12,0.711196694792256,0.13727021614284685,0.5833333333333334,0.0006250000000000001
Qwen/Qwen2.5-0.5B,ambiguous_prompt,state_pca,4,same_epsilon,12,0.8844860484857712,0.011897451241329017,0.5,0.0003500350636210859
