metric,group,method,eps,coverage,ci_low,median,ci_high
accuracy,base,none,,,0.6364583333333333,0.6990740740740741,0.7570601851851851
answer_preserved_rate,correct_high,accessible_rho,0.05,,1.0,1.0,1.0
answer_preserved_rate,correct_high,accessible_rho,0.1,,1.0,1.0,1.0
answer_preserved_rate,correct_high,accessible_rho,0.2,,0.9656294284364667,0.9882352941176471,1.0
answer_preserved_rate,correct_high,accessible_rho,0.4,,0.9306907463989524,0.9638864737299715,0.9878820158683514
answer_preserved_rate,correct_high,low_rho,0.05,,1.0,1.0,1.0
answer_preserved_rate,correct_high,low_rho,0.1,,1.0,1.0,1.0
answer_preserved_rate,correct_high,low_rho,0.2,,1.0,1.0,1.0
answer_preserved_rate,correct_high,low_rho,0.4,,0.9658273661270237,0.9887002042900919,1.0
answer_preserved_rate,correct_high,projected_gradient,0.05,,0.841343150379295,0.8867857142857143,0.9219629455909943
answer_preserved_rate,correct_high,projected_gradient,0.1,,0.7083333333333334,0.7666666666666667,0.8108108108108109
answer_preserved_rate,correct_high,projected_gradient,0.2,,0.5464908722109534,0.5842696629213483,0.6219514013118664
answer_preserved_rate,correct_high,projected_gradient,0.4,,0.5429332279433906,0.5789473684210527,0.6160153362897265
answer_preserved_rate,correct_high,random_activation,0.05,,1.0,1.0,1.0
answer_preserved_rate,correct_high,random_activation,0.1,,1.0,1.0,1.0
answer_preserved_rate,correct_high,random_activation,0.2,,0.9656294284364667,0.9882352941176471,1.0
answer_preserved_rate,correct_high,random_activation,0.4,,0.9418575116588941,0.9705882352941176,0.9939786585365854
answer_preserved_rate,correct_high,standard_delta_pca,0.05,,1.0,1.0,1.0
answer_preserved_rate,correct_high,standard_delta_pca,0.1,,1.0,1.0,1.0
answer_preserved_rate,correct_high,standard_delta_pca,0.2,,0.9770114942528736,0.9941860465116279,1.0
answer_preserved_rate,correct_high,standard_delta_pca,0.4,,0.9453869047619048,0.9761904761904762,0.9941886409736308
answer_preserved_rate,correct_high,temperature_1.25,0.0,,1.0,1.0,1.0
answer_preserved_rate,correct_high,temperature_1.5,0.0,,1.0,1.0,1.0
answer_preserved_rate,correct_high,temperature_2,0.0,,1.0,1.0,1.0
answer_preserved_rate,correct_low,accessible_rho,0.05,,1.0,1.0,1.0
answer_preserved_rate,correct_low,accessible_rho,0.1,,1.0,1.0,1.0
answer_preserved_rate,correct_low,accessible_rho,0.2,,0.9308333333333334,0.9733285917496444,1.0
answer_preserved_rate,correct_low,accessible_rho,0.4,,0.8787878787878788,0.9473684210526315,0.9863081831831833
answer_preserved_rate,correct_low,low_rho,0.05,,1.0,1.0,1.0
answer_preserved_rate,correct_low,low_rho,0.1,,0.9523311491935484,0.9864864864864865,1.0
answer_preserved_rate,correct_low,low_rho,0.2,,0.9354838709677419,0.972972972972973,1.0
answer_preserved_rate,correct_low,low_rho,0.4,,0.9354838709677419,0.972972972972973,1.0
answer_preserved_rate,correct_low,projected_gradient,0.05,,0.7258064516129032,0.8097619047619048,0.8959803528468324
