rho_group,variant_type,n,rho_mean,confidence_mean,entropy_mean,margin_mean,answer_flip_rate,correctness_loss_rate,answer_prob_drop_mean,entropy_increase_mean,candidate_kl_mean,top10_jaccard_drop_mean,brier_degradation_mean,fragility_score_mean
high_rho,neutral_prefix,48,0.6576213319541767,0.2280072402518142,2.8870362255930364,0.6136305630207062,0.2916666666666667,0.041666666666666664,0.008946777168775883,0.03158815705995651,0.1643277206797944,0.3946959902842256,-0.014877583336807483,1.023642614227455
high_rho,neutral_suffix,48,0.6576213319541767,0.2280072402518142,2.8870362255930364,0.6136305630207062,0.5625,0.14583333333333334,0.0310143044936295,0.08311804618967848,0.4234841070945649,0.558655643891712,0.0030967840284703333,1.8928166304019685
high_rho,quiz_format,48,0.6576213319541767,0.2280072402518142,2.8870362255930364,0.6136305630207062,0.5,0.125,0.12093948207177019,0.2800124131307011,0.6954099215688466,0.6946939584323486,0.08591615723211549,2.5663384276874006
high_rho,synonym_substitution,14,0.6696009560746551,0.18845124690732015,2.9917077466041007,0.4977783475603376,0.35714285714285715,0.21428571428571427,0.04659122259162058,-0.11341455410615153,0.18304110945500707,0.38435175935175936,-0.041457713908048574,1.2342945273257269
high_rho,template_rewrite,27,0.6611512771617313,0.2430148575828411,2.8113906203292007,0.6139384022465458,0.37037037037037035,0.14814814814814814,-0.03558129136288694,-0.018484890758995117,0.20334087425318964,0.385837836818229,-0.05455247494754505,1.2455421095816004
low_rho,neutral_prefix,48,0.42890162796247516,0.188761482680564,3.0092736929737876,0.520115445057551,0.2916666666666667,0.041666666666666664,-0.0186433723956616,-0.06358190589562643,0.24203784570452502,0.38784948711419304,-0.043990050066267695,1.078703763045554
low_rho,neutral_suffix,48,0.42890162796247516,0.188761482680564,3.0092736929737876,0.520115445057551,0.3958333333333333,0.08333333333333333,-0.013797628099338126,-0.04087004038891225,0.44093547830287694,0.5803470265544569,-0.041547935682802135,1.6653728100543217
low_rho,quiz_format,48,0.42890162796247516,0.188761482680564,3.0092736929737876,0.520115445057551,0.5,0.14583333333333334,0.07318401922759628,0.06293444569358343,0.8236956655457975,0.7152352220076678,-0.025114136070926787,2.5824873304069444
low_rho,synonym_substitution,11,0.3966155804579417,0.1520499487373361,3.089622233629419,0.33061907508156513,0.2727272727272727,0.09090909090909091,0.013800439192685894,-0.18380643178243503,0.2164367121478703,0.5118492618492619,-0.008423551049153294,1.1419523880470501
low_rho,template_rewrite,28,0.47273471853640847,0.19613670139014225,2.9740416483302874,0.5484835420336042,0.25,0.10714285714285714,-0.02951140009418304,-0.07703169881899516,0.22668081868447948,0.44259521990614425,-0.07633021701823428,1.152937753970029
