subset,outcome,predictor,n,spearman,pearson
accessible_only,abs_delta_entropy,rho,4830,0.6277143538874068,0.6167786279449888
accessible_only,abs_delta_entropy,grad_entropy_projection,4830,0.8826995614579141,0.8159456552394536
accessible_only,abs_delta_entropy,grad_varentropy_projection,4830,0.7870234579291312,0.6567932766911019
accessible_only,abs_delta_entropy,fisher_output_norm,4830,-0.046586274165199386,-0.06033307695694787
accessible_only,abs_delta_entropy,jacobian_fro_norm,4830,0.159971334355248,0.21420494705599863
accessible_only,abs_delta_entropy,trace_fim,4830,-0.046586274165199386,-0.028347594845955067
accessible_only,abs_delta_varentropy,rho,4830,0.35440126255217713,0.34633474130683106
accessible_only,abs_delta_varentropy,grad_entropy_projection,4830,0.6815370756962043,0.5585053889430034
accessible_only,abs_delta_varentropy,grad_varentropy_projection,4830,0.8126906866984428,0.7688644287724246
accessible_only,abs_delta_varentropy,fisher_output_norm,4830,-0.04621052223517914,-0.04975354265843475
accessible_only,abs_delta_varentropy,jacobian_fro_norm,4830,0.18526184355716854,0.18853163203634804
accessible_only,abs_delta_varentropy,trace_fim,4830,-0.04621052223517914,-0.018735788370708332
accessible_only,directional_success,rho,4830,,
accessible_only,directional_success,grad_entropy_projection,4830,,
accessible_only,directional_success,grad_varentropy_projection,4830,,
accessible_only,directional_success,fisher_output_norm,4830,,
accessible_only,directional_success,jacobian_fro_norm,4830,,
accessible_only,directional_success,trace_fim,4830,,
all_directions,abs_delta_entropy,rho,14490,0.20880648798368256,0.32102568110875984
all_directions,abs_delta_entropy,grad_entropy_projection,14490,0.26426897606035166,0.42585408046606926
all_directions,abs_delta_entropy,grad_varentropy_projection,14490,0.22035730707007253,0.33702948736005844
all_directions,abs_delta_entropy,fisher_output_norm,14490,-0.018640061301662837,-0.033634521114359876
all_directions,abs_delta_entropy,jacobian_fro_norm,14490,0.0416549521241121,0.09684032211621864
all_directions,abs_delta_entropy,trace_fim,14490,-0.018640061301662837,-0.015875807021800935
all_directions,abs_delta_varentropy,rho,14490,0.2119622954131685,0.23882554325535527
all_directions,abs_delta_varentropy,grad_entropy_projection,14490,0.3621110937120033,0.37169932030716574
all_directions,abs_delta_varentropy,grad_varentropy_projection,14490,0.38042346059035226,0.4533688578972794
all_directions,abs_delta_varentropy,fisher_output_norm,14490,-0.015423583197138258,-0.026712443063505044
all_directions,abs_delta_varentropy,jacobian_fro_norm,14490,0.10316952427084897,0.12465401467141446
all_directions,abs_delta_varentropy,trace_fim,14490,-0.015423583197138258,-0.007627723713302008
all_directions,directional_success,rho,14490,0.012797812897923543,0.012891850549871223
all_directions,directional_success,grad_entropy_projection,14490,0.019657722234535525,0.014537055454504058
all_directions,directional_success,grad_varentropy_projection,14490,0.02028749204119076,0.015709934527948045
all_directions,directional_success,fisher_output_norm,14490,-0.003372232240486791,-0.0028741119059049964
all_directions,directional_success,jacobian_fro_norm,14490,0.00018999220636454594,0.001012007201629955
all_directions,directional_success,trace_fim,14490,-0.003372232240486791,-0.0018020749496117342
