domain,contrast,metric,ci_low,median,ci_high
medical_breast_cancer,rho_guided_guarded_refine_vs_entropy_human_review,automatic_accuracy,-0.012304145010071385,-0.0086154595735769,-0.005160868772706593
medical_breast_cancer,rho_guided_guarded_refine_vs_entropy_human_review,compute_sensor_budget,-0.12038840739908974,-0.10795787009947339,-0.09583681444792183
medical_breast_cancer,rho_guided_guarded_refine_vs_entropy_human_review,coverage,0.12778241926389583,0.14394382679929785,0.1605178765321197
medical_breast_cancer,rho_guided_guarded_refine_vs_entropy_human_review,error_on_non_deferred,0.0051608687727065505,0.008615459573576876,0.012304145010071443
medical_breast_cancer,rho_guided_guarded_refine_vs_entropy_human_review,false_intervention_rate,0.0,0.0,0.0
medical_breast_cancer,rho_guided_guarded_refine_vs_entropy_human_review,human_review_cost,-0.16051787653211963,-0.14394382679929785,-0.1277824192638958
medical_breast_cancer,rho_guided_guarded_refine_vs_entropy_human_review,near_miss_surrogate_rate,0.00468110005851375,0.0076112412177985955,0.010557184750733138
medical_breast_cancer,rho_guided_guarded_refine_vs_entropy_human_review,preservation_when_no_change_needed,0.0,0.0,0.0
medical_breast_cancer,rho_guided_guarded_refine_vs_entropy_human_review,safe_decision_rate,-0.010557184750733088,-0.007611241217798659,-0.004681100058513743
medical_breast_cancer,rho_guided_guarded_refine_vs_gradient_human_review,automatic_accuracy,-0.012304145010071385,-0.0086154595735769,-0.005160868772706593
medical_breast_cancer,rho_guided_guarded_refine_vs_gradient_human_review,compute_sensor_budget,-0.12038840739908974,-0.10795787009947339,-0.09583681444792183
medical_breast_cancer,rho_guided_guarded_refine_vs_gradient_human_review,coverage,0.12778241926389583,0.14394382679929785,0.1605178765321197
medical_breast_cancer,rho_guided_guarded_refine_vs_gradient_human_review,error_on_non_deferred,0.0051608687727065505,0.008615459573576876,0.012304145010071443
medical_breast_cancer,rho_guided_guarded_refine_vs_gradient_human_review,false_intervention_rate,0.0,0.0,0.0
medical_breast_cancer,rho_guided_guarded_refine_vs_gradient_human_review,human_review_cost,-0.16051787653211963,-0.14394382679929785,-0.1277824192638958
