split,target_review_cost,policy,n,review_cost,coverage,automatic_accuracy,error_on_non_deferred,reviewed_error_rate,deferred_error_capture
grouped_prompt,0.15,entropy_fixed_review,132,0.15151515151515152,0.8484848484848485,0.36532466823996923,0.6346753317600307,0.8964646464646465,0.20598886430804936
grouped_prompt,0.15,fisher_fixed_review,132,0.15151515151515152,0.8484848484848485,0.37423732421144873,0.6257626757885513,0.946969696969697,0.22114037945956452
grouped_prompt,0.15,gradient_fixed_review,132,0.15151515151515152,0.8484848484848485,0.3472957068998125,0.6527042931001876,0.8017676767676768,0.17842831255394923
grouped_prompt,0.15,jacobian_fixed_review,132,0.15151515151515152,0.8484848484848485,0.33883236968884717,0.6611676303111529,0.736111111111111,0.16768920100838605
grouped_prompt,0.15,rho_entropy_gradient_low_access_review,132,0.15151515151515152,0.8484848484848485,0.3564120122684898,0.6435879877315102,0.8459595959595959,0.19083734915653422
grouped_prompt,0.15,rho_entropy_low_access_review,132,0.15151515151515152,0.8484848484848485,0.3564120122684898,0.6435879877315102,0.8459595959595959,0.19083734915653422
grouped_prompt,0.15,rho_only_low_access_review,132,0.15151515151515152,0.8484848484848485,0.35650913736561485,0.6434908626343852,0.8421717171717171,0.19125822457740962
grouped_prompt,0.25,entropy_fixed_review,132,0.25,0.75,0.3741817525908435,0.6258182474091565,0.8249158249158249,0.3096213979066271
grouped_prompt,0.25,fisher_fixed_review,132,0.25,0.75,0.4043945953036862,0.5956054046963137,0.9166666666666666,0.3489664614452391
grouped_prompt,0.25,gradient_fixed_review,132,0.25,0.75,0.33377771218680313,0.6662222878131968,0.7037037037037037,0.24901533730056652
grouped_prompt,0.25,jacobian_fixed_review,132,0.25,0.75,0.3632559359832087,0.6367440640167913,0.8011363636363636,0.2955152829940606
grouped_prompt,0.25,rho_entropy_gradient_low_access_review,132,0.25,0.75,0.3846976256067165,0.6153023743932835,0.8522727272727273,0.31529642777520533
grouped_prompt,0.25,rho_entropy_low_access_review,132,0.25,0.75,0.3741817525908435,0.6258182474091565,0.8249158249158249,0.3096213979066271
grouped_prompt,0.25,rho_only_low_access_review,132,0.25,0.75,0.3844680571953299,0.6155319428046702,0.8541666666666666,0.3190843065630841
grouped_prompt,0.35,entropy_fixed_review,132,0.3484848484848485,0.6515151515151515,0.38305900254429665,0.6169409974557033,0.7849317349317348,0.40340516083300465
grouped_prompt,0.35,fisher_fixed_review,132,0.3484848484848485,0.6515151515151515,0.41804831878361287,0.5819516812163871,0.8497835497835499,0.44275022437161654
grouped_prompt,0.35,gradient_fixed_review,132,0.3484848484848485,0.6515151515151515,0.3481991864344805,0.6518008135655194,0.7196470196470196,0.3606930939273893
grouped_prompt,0.35,jacobian_fixed_review,132,0.3484848484848485,0.6515151515151515,0.33713454301689594,0.6628654569831041,0.6957893957893957,0.36605371770906575
grouped_prompt,0.35,rho_entropy_gradient_low_access_review,132,0.3484848484848485,0.6515151515151515,0.395159170894465,0.604840829105535,0.8049783549783549,0.4128680694894617
grouped_prompt,0.35,rho_entropy_low_access_review,132,0.3484848484848485,0.6515151515151515,0.39513488962018367,0.6048651103798163,0.8050616050616051,0.41897755140539517
grouped_prompt,0.35,rho_only_low_access_review,132,0.3484848484848485,0.6515151515151515,0.34882573853162085,0.6511742614683791,0.7174103674103675,0.3754680363339107
leave_one_model_out,0.15,entropy_fixed_review,132,0.14393939393939395,0.8560606060606061,0.3624633431085044,0.6375366568914956,0.8909090909090909,0.19973262032085562
leave_one_model_out,0.15,fisher_fixed_review,132,0.14393939393939395,0.8560606060606061,0.36246334310850437,0.6375366568914956,0.8909090909090909,0.19732620320855615
leave_one_model_out,0.15,gradient_fixed_review,132,0.14393939393939395,0.8560606060606061,0.33607038123167154,0.6639296187683285,0.7272727272727273,0.15401069518716576
leave_one_model_out,0.15,jacobian_fixed_review,132,0.14393939393939395,0.8560606060606061,0.32727272727272727,0.6727272727272727,0.6727272727272727,0.13796791443850268
leave_one_model_out,0.15,rho_entropy_gradient_low_access_review,132,0.14393939393939395,0.8560606060606061,0.35366568914956015,0.6463343108504399,0.8363636363636364,0.18368983957219254
leave_one_model_out,0.15,rho_entropy_low_access_review,132,0.14393939393939395,0.8560606060606061,0.35366568914956015,0.6463343108504399,0.8363636363636364,0.18609625668449195
leave_one_model_out,0.15,rho_only_low_access_review,132,0.14393939393939395,0.8560606060606061,0.3448680351906158,0.6551319648093841,0.7818181818181817,0.17005347593582887
leave_one_model_out,0.25,entropy_fixed_review,132,0.25,0.75,0.36363636363636365,0.6363636363636364,0.7878787878787878,0.29558823529411765
leave_one_model_out,0.25,fisher_fixed_review,132,0.25,0.75,0.3939393939393939,0.6060606060606061,0.8787878787878788,0.338903743315508
leave_one_model_out,0.25,gradient_fixed_review,132,0.25,0.75,0.3333333333333333,0.6666666666666666,0.696969696969697,0.24986631016042782
leave_one_model_out,0.25,jacobian_fixed_review,132,0.25,0.75,0.3434343434343434,0.6565656565656566,0.7272727272727273,0.26350267379679143
leave_one_model_out,0.25,rho_entropy_gradient_low_access_review,132,0.25,0.75,0.3838383838383838,0.6161616161616161,0.8484848484848485,0.3252673796791444
leave_one_model_out,0.25,rho_entropy_low_access_review,132,0.25,0.75,0.36363636363636365,0.6363636363636364,0.7878787878787878,0.29558823529411765
leave_one_model_out,0.25,rho_only_low_access_review,132,0.25,0.75,0.3434343434343434,0.6565656565656566,0.7272727272727273,0.2728609625668449
leave_one_model_out,0.35,entropy_fixed_review,132,0.3560606060606061,0.6439393939393939,0.3883399209486166,0.6116600790513834,0.7902097902097902,0.4211229946524064
leave_one_model_out,0.35,fisher_fixed_review,132,0.3560606060606061,0.6439393939393939,0.3883399209486166,0.6116600790513834,0.7902097902097902,0.4211229946524064
leave_one_model_out,0.35,gradient_fixed_review,132,0.3560606060606061,0.6439393939393939,0.36462450592885376,0.6353754940711464,0.7482517482517483,0.3890374331550802
leave_one_model_out,0.35,jacobian_fixed_review,132,0.3560606060606061,0.6439393939393939,0.3651185770750988,0.6348814229249011,0.7465034965034965,0.3961229946524064
leave_one_model_out,0.35,rho_entropy_gradient_low_access_review,132,0.3560606060606061,0.6439393939393939,0.3883399209486166,0.6116600790513834,0.7902097902097902,0.4211229946524064
leave_one_model_out,0.35,rho_entropy_low_access_review,132,0.3560606060606061,0.6439393939393939,0.3532608695652174,0.6467391304347827,0.7255244755244755,0.38235294117647056
leave_one_model_out,0.35,rho_only_low_access_review,132,0.3560606060606061,0.6439393939393939,0.34140316205533594,0.6585968379446641,0.7045454545454546,0.36871657754010695
leave_one_source_out,0.15,entropy_fixed_review,132,0.15151515151515152,0.8484848484848485,0.3302631578947368,0.6697368421052632,0.6861471861471862,0.15411371782339525
leave_one_source_out,0.15,fisher_fixed_review,132,0.15151515151515152,0.8484848484848485,0.33923444976076556,0.6607655502392344,0.7348484848484849,0.1651107852720756
leave_one_source_out,0.15,gradient_fixed_review,132,0.15151515151515152,0.8484848484848485,0.35677830940988836,0.6432216905901117,0.8452380952380952,0.18990917236884977
leave_one_source_out,0.15,jacobian_fixed_review,132,0.15151515151515152,0.8484848484848485,0.33923444976076556,0.6607655502392344,0.7348484848484849,0.1651107852720756
leave_one_source_out,0.15,rho_entropy_gradient_low_access_review,132,0.15151515151515152,0.8484848484848485,0.3389686337054758,0.6610313662945242,0.7435064935064934,0.16698028673835125
leave_one_source_out,0.15,rho_entropy_low_access_review,132,0.15151515151515152,0.8484848484848485,0.3211722488038277,0.6788277511961722,0.6406926406926406,0.14401270772238514
