pair_id,true_label,true_class,match_distance,low_index,low_pred,low_confidence,low_entropy,low_margin,low_loss,low_rho,low_grad_entropy_norm,low_projected_grad_entropy_norm,high_index,high_pred,high_confidence,high_entropy,high_margin,high_loss,high_rho,high_grad_entropy_norm,high_projected_grad_entropy_norm
0,0,airplane,1.4792619595697991,21,0,0.3990829315726324,1.8680139448641315,0.245774303894091,0.918586035136828,0.7938724792469983,0.8154019230701092,0.3603017376206599,1965,0,0.4531121876462637,1.535798085088911,0.16755218188201082,0.7916155293122386,0.9563621434133106,0.7392500872222479,0.3716695612305913
1,0,airplane,1.77817093891206,298,0,0.44216903328190554,1.704777394641018,0.23609196891087916,0.8160630417718746,0.8895754509910572,0.8338998626323114,0.3910390354517258,116,0,0.3800752555568879,1.7053144240290643,0.09085371764891875,0.967386004930045,0.9708135127362162,0.7012951337536042,0.37975367709137225
2,0,airplane,1.7880542608913328,406,0,0.375644086352572,1.9157331379560185,0.22543459606964697,0.9791131627304603,0.741705575761775,0.7753731666970555,0.3311869775064997,376,0,0.35068698944244775,1.7379565786260376,0.07108261235085067,1.047861221348113,0.9744407563223603,0.6315794216018309,0.34432030098403227
3,0,airplane,2.3959629866855607,447,0,0.7091236662516248,0.8937535583343884,0.5657519042136662,0.3437253441739455,0.8616008680387214,0.7237808180263627,0.22245598815723333,1776,0,0.6164625947484643,0.9822771693512463,0.3599247324391603,0.4837576317813658,0.992315145771592,0.5774725672517692,0.1599330384028675
4,0,airplane,1.4863096706820131,602,0,0.3655746527362146,1.9138101242578194,0.1900980936836476,1.0062847723958412,0.8589179530485807,0.7410348899704239,0.356053469596555,864,0,0.324259715964173,1.8339282564081238,0.04393299229720127,1.126210491811461,0.9820293106201521,0.6714833958836138,0.3794370976386636
5,0,airplane,2.163373641907693,1078,0,0.5178338016774585,1.5079593201457349,0.337135482884472,0.6581009343873151,0.8334695418088371,0.882551844796051,0.36552922738844207,1295,0,0.5234343429759584,1.300519627965831,0.2584410842631742,0.647343675876352,0.9589770410979204,0.6581849711276345,0.2883426481224452
6,0,airplane,2.07568402804757,1319,0,0.38877703971301153,1.8888640598698272,0.23422886114915456,0.9447492623757046,0.7964450981001803,0.7932695401463297,0.35553608463376685,929,0,0.38982611360466113,1.562798335116595,0.05244275937852938,0.9420545018368583,0.966100855402704,0.6459101124593067,0.34932320973388253
7,0,airplane,2.465523407935951,1579,0,0.38220572951259973,1.8856707984356313,0.21343825945975756,0.9617962564128693,0.8222897607179529,0.7779338776755901,0.35652245914322006,189,0,0.2856753563557429,1.9759016192392436,0.05927769203987382,1.2528992305335176,0.9745789151944727,0.5893998862790564,0.3361759854058021
8,6,frog,1.5192589987029936,605,6,0.2678879139352286,1.9354738423849447,0.07105455952428646,1.3171866175394706,0.9199396350942195,0.5098162610644819,0.2096230546469214,5,6,0.26105959256083566,1.9546788096150396,0.06832412297468804,1.3430065737335224,0.9265845057460879,0.498722825133481,0.2087855229490941
9,8,ship,1.0560202744445046,54,8,0.29967490571126204,1.840094982618522,0.07777580854383362,1.2050570395256726,0.9011284404095927,0.5291266333584508,0.29661575756832353,403,8,0.32664511528744555,1.7230426472981517,0.05970642561066075,1.118880971771844,0.9333808279748933,0.5325051789890417,0.2994193836815488
10,8,ship,2.484824068597761,552,8,0.3022891698123062,1.812761797263146,0.07671651537623406,1.1963712037984429,0.747757753688239,0.5149116478378086,0.25573977951987964,1347,8,0.3210822817494958,1.7883921225458574,0.0590347754996291,1.136057859261217,0.9577477628255966,0.5898779378311105,0.334510654333687
11,8,ship,2.393979306517251,1259,8,0.2811814600061261,1.8608076471528476,0.06815405928945656,1.2687550529186267,0.8665192170323929,0.5082577238240423,0.2823258485652776,126,8,0.30848245441522804,1.8976033594836466,0.07012379025834262,1.1760903111107088,0.9761239106970538,0.6070665566565322,0.34832397671581206
