index,true_label,true_class,pred,correct,confidence,true_prob,entropy,varentropy,margin,loss,rho,v_total,v_access,v_inaccess,route_rank,hidden_norm,grad_entropy_norm,grad_loss_norm,projected_grad_entropy_norm,projected_grad_loss_norm
0,3,cat,3,1,0.15220686874702916,0.15220686874702916,2.2630355053419344,0.07647485239745003,0.026574223310555034,1.8825147048289181,0.2884298722102744,0.07647485239745004,0.02205763190429611,0.05441722049315393,2,2.03250789642334,0.18233048066994217,1.8934606286313844,0.05884292950949198,0.28564262422473546
1,8,ship,8,1,0.2790006477254948,0.2790006477254948,1.8564751007971416,0.5862458427517342,0.020027527994530725,1.2765411755667107,0.9484158321530725,0.5862458427517346,0.5560048387996657,0.030241003952068968,2,3.4147863388061523,0.529709596911666,1.2069120089907852,0.30914702601901467,0.3495917800612649
2,8,ship,0,0,0.24657543898725987,0.24029438571671718,2.013735803956737,0.47805752255194617,0.00628105327054268,1.4258905001551065,0.9777433499325191,0.4780575225519459,0.4674175635603804,0.010639958991565501,2,2.762366771697998,0.5486101933824173,1.3220988959228805,0.3222735236432878,0.4362968480589913
3,0,airplane,0,1,0.20151702212287798,0.20151702212287798,2.090044172934268,0.3390379434418044,0.004157096117597847,1.601881424126768,0.895146947710824,0.3390379434418053,0.303488780230087,0.035549163211718304,2,2.463306188583374,0.4436793740907704,1.6170511043377869,0.26004061440534976,0.48148796167753727
4,6,frog,4,0,0.23405145461686652,0.21179019803853996,1.9516007371768165,0.4365584125660637,0.02226125657832656,1.5521591262127588,0.9357500398642048,0.4365584125660649,0.4085095519617492,0.028048860604315717,2,3.1316137313842773,0.3901440569099562,2.207014543453612,0.16889516550204323,0.6682312575490802
5,6,frog,6,1,0.26105959256083566,0.26105959256083566,1.9546788096150396,0.4186235906418049,0.06832412297468804,1.3430065737335224,0.9265845057460879,0.418623590641805,0.3878901328284895,0.03073345781331549,2,3.2728586196899414,0.498722825133481,2.009853381204179,0.2087855229490941,0.616612942973005
6,1,automobile,3,0,0.18011313233142232,0.14258671442143983,2.1759405973945887,0.2045568432065216,0.032343234349866135,1.947804942092304,0.33472859527246884,0.20455684320652154,0.06847102477988962,0.13608581842663192,2,2.2092819213867188,0.3277181849715277,1.61978337426192,0.10084346492984154,0.36978071635656407
7,6,frog,6,1,0.21540193546852304,0.21540193546852304,2.081433157294307,0.28330261844038324,0.07468536258835484,1.5352495288381796,0.9103601583417343,0.28330261844038357,0.25790741658201555,0.02539520185836802,2,2.6849961280822754,0.42515948855037167,2.099260078433325,0.19816903361560811,0.6655959854700657
8,3,cat,1,0,0.16244835192265036,0.15541935404736354,2.2283955773775217,0.13568835871233467,0.007028997875286824,1.86162830538415,0.05224060226559802,0.13568835871233492,0.00708844157956288,0.12859991713277205,2,1.941375970840454,0.23089111311172422,1.903304847225381,0.016929660460810896,0.37404885305735286
9,1,automobile,8,0,0.2801063551367832,0.10548776867850422,1.935442576278219,0.5665629174493569,0.043643933393600176,2.249160269483837,0.9715502593923647,0.5665629174493572,0.5504443494100179,0.01611856803933931,2,2.816556215286255,0.5723185659250114,1.82135986980902,0.3319663408247539,0.230660340885744
