model,init_state,split,route_source,subspace_family,subspace_k,layer,n,rho_mean,rho_std,v_access_mean,v_inaccess_mean,grad_entropy_proj_norm_mean,grad_varentropy_proj_norm_mean
bert-base-uncased,pretrained,test,random_route,random,8,4,10,0.41007797179008054,0.2154509160556348,0.2807324730755566,0.32684117244766586,0.08202291956945272,0.21524710723519486
bert-base-uncased,pretrained,test,random_route,random,8,8,10,0.6567476270555117,0.18047108265233733,1.1472096195284118,0.4489654430870872,0.14544215311203984,0.2721298462764161
bert-base-uncased,pretrained,test,random_route,random,8,12,10,0.7044329796597768,0.14343093746498795,1.2205431608818618,0.42537718184876977,0.20395556826613753,0.4308779859075969
bert-base-uncased,pretrained,test,test_oracle,delta_pca,8,4,10,0.5063962410943967,0.1576023684238499,0.3349984993835827,0.2725751461396393,0.11008824756075626,0.28092090110117923
bert-base-uncased,pretrained,test,test_oracle,delta_pca,8,8,10,0.5696035495694096,0.25444937287880626,1.0905355310374998,0.505639531578,0.1302919464693346,0.25211439091478327
bert-base-uncased,pretrained,test,test_oracle,state_pca,8,4,10,0.4705430826615492,0.14867386704421584,0.31626475095673745,0.2913088945664847,0.09539116253214022,0.25450967686467596
bert-base-uncased,pretrained,test,test_oracle,state_pca,8,8,10,0.6658325852168413,0.16927527896090802,1.1894667628380093,0.4067082997774894,0.17173357113696802,0.3369465977344404
bert-base-uncased,pretrained,test,test_oracle,state_pca,8,12,10,0.735868832035367,0.19684775171229474,1.3147439349215486,0.3311764078090826,0.2610183242330839,0.5747875259116281
bert-base-uncased,pretrained,test,train_route,delta_pca,8,4,10,0.41988273176584867,0.13579067115124485,0.27942520315502434,0.3281484423681978,0.08937104119450043,0.23202869402940954
bert-base-uncased,pretrained,test,train_route,delta_pca,8,8,10,0.658914335374654,0.11407653748640295,1.1328120539287136,0.4633630086867858,0.1541498758654324,0.30893071252245013
bert-base-uncased,pretrained,test,train_route,state_pca,8,4,10,0.503919343111525,0.1513702376144678,0.33076630891691455,0.27680733660630763,0.11417962782152116,0.29617516371759944
bert-base-uncased,pretrained,test,train_route,state_pca,8,8,10,0.6443187313727046,0.23127555508377792,1.1542903293949327,0.44188473322056615,0.16079280307964688,0.3219458779926606
bert-base-uncased,pretrained,test,train_route,state_pca,8,12,10,0.7255212671527574,0.16071388945007126,1.2935535149089499,0.3523668278216811,0.25865984754914223,0.5327460053297426
bert-base-uncased,pretrained,train,random_route,random,8,4,11,0.43136077184060506,0.1984444333797049,0.3438751359922411,0.3950470045488723,0.08705309169775494,0.2187538148254574
bert-base-uncased,pretrained,train,random_route,random,8,8,11,0.49634051086460257,0.1699264863681572,0.515460603054096,0.3457901991977606,0.07875181021904634,0.1778065912679263
bert-base-uncased,pretrained,train,random_route,random,8,12,11,0.72173018044794,0.17415912084688243,1.3899505665965917,0.4168626057283928,0.22199844594768764,0.28297656109402886
