top_k_output,direction,sign,n,abs_delta_entropy_mean,abs_delta_varentropy_mean,directional_success_rate,selected_top1_changed_rate,selected_top5_jaccard_mean,full_vocab_top5_jaccard_mean,full_vocab_top10_jaccard_mean,selected_kl_mean,candidate_set_kl_mean,selected_prob_l1_mean,cluster_distribution_l1_mean,embedding_centroid_delta_norm_mean,candidate_mass_retention_ratio_mean
16,accessible_ls,decrease,483,0.031960673022799355,0.05636514946465376,1.0,0.014492753623188406,0.9717046238785368,0.9717046238785368,0.9505615157789071,0.0012192382308610394,0.0012192382414393098,0.04082034470958188,0.025784630509161764,0.015190079679113695,1.022006067826392
16,accessible_ls,increase,483,0.03108704987177049,0.05540445814149477,1.0,0.012422360248447204,0.9643103618258898,0.9643103618258898,0.9488675575632097,0.001286490238247022,0.001286490248852664,0.0420694728610291,0.026381825624171695,0.015534455181315274,0.9717585826343036
16,grad_orthogonal_control,decrease,483,0.001056225092422198,0.0066274339235086275,0.7991718426501035,0.043478260869565216,0.9360149857044266,0.9360149857044266,0.9242448372883155,0.0012499738494653795,0.001249973852515334,0.03827830305817963,0.02025318804214766,0.012389105792335155,0.9995393671757657
16,grad_orthogonal_control,increase,483,0.0010568194692581066,0.0065749273917448114,0.21325051759834368,0.051759834368530024,0.9304939367051168,0.9304939367051168,0.9179371353284397,0.0012497629392837493,0.0012497629681702954,0.03821729051050145,0.02020431610039108,0.012366112872712933,0.9966921911052409
16,random_control,decrease,483,0.013521209154713575,0.025047272186853188,0.9937888198757764,0.047619047619047616,0.9468599033816425,0.9468599033816425,0.9314888010540185,0.0012365160780434714,0.0012365161019944422,0.03961970141633823,0.02319366087348633,0.013697418056272361,1.0065580312086149
16,random_control,increase,483,0.012359450246614348,0.023681564354012093,0.9233954451345756,0.047619047619047616,0.9365079365079365,0.9365079365079365,0.932680845724324,0.0012628252380774477,0.0012628251928559436,0.04034096264088631,0.02367873251356905,0.014016087100854894,0.9911597469858455
32,accessible_ls,decrease,483,0.03413694862148837,0.06488966810177432,1.0,0.024844720496894408,0.9592822636300897,0.9592822636300897,0.9528828659263442,0.0012272709016256035,0.001227270901311134,0.04053138234429561,0.02226654478854289,0.01325909740914284,1.0202851006045746
32,accessible_ls,increase,483,0.03293066815363989,0.06384094335604218,1.0,0.020703933747412008,0.9613526570048309,0.9613526570048309,0.948428383210992,0.0012738928217672107,0.00127389280537847,0.041435276279777715,0.02262260656657755,0.013432364616984348,0.9777806314094423
32,grad_orthogonal_control,decrease,483,0.0011218469045392017,0.007740970247043365,0.7846790890269151,0.037267080745341616,0.9367051168293404,0.9367051168293404,0.9290274942448856,0.0012494521751742326,0.0012494521916415707,0.038015342556970685,0.01687293158913442,0.010162353073423764,0.9992386305358144
32,grad_orthogonal_control,increase,483,0.0011303860761629385,0.007949092156496123,0.21739130434782608,0.047619047619047616,0.9348319037760031,0.9348319037760031,0.9338728903946295,0.0012509763825987062,0.001250976432045335,0.038057401246612804,0.016900433819936563,0.010174746360526638,0.9983658100126437
32,random_control,decrease,483,0.013665705836918443,0.028567154201186825,0.9958592132505176,0.047619047619047616,0.9427191166321601,0.9427191166321601,0.929857582031495,0.001238208527165135,0.0012382085293047953,0.039374081078909606,0.01885143313713099,0.011515414742549608,1.0060419863178234
32,random_control,increase,483,0.012604978437017845,0.02771963314889276,0.9337474120082816,0.037267080745341616,0.940550133096717,0.940550133096717,0.9323526714831063,0.0012613064411536995,0.001261306430874755,0.03998753359634407,0.019199173898572446,0.011723548365880979,0.9922316177615995
64,accessible_ls,decrease,483,0.0362977915911544,0.07478125170570037,1.0,0.024844720496894408,0.9613526570048309,0.9613526570048309,0.9523182131877784,0.001230202542559082,0.0012302025614234838,0.0404219805425196,0.019658516130078046,0.011833693367032092,1.0175213875924387
64,accessible_ls,increase,483,0.03505154520617719,0.07364948909859871,1.0,0.020703933747412008,0.9641131815044859,0.9641131815044859,0.9493694711086016,0.0012707791678738512,0.0012707791645920213,0.041180317554134996,0.019898222449057038,0.011930840666282588,0.9814395961501131
64,grad_orthogonal_control,decrease,483,0.0010638302748184753,0.008080334940169817,0.7971014492753623,0.031055900621118012,0.9371980676328503,0.9371980676328503,0.9289164941338854,0.0012491616941117166,0.0012491617143917733,0.03831331000675893,0.013892903949787212,0.008626492287839984,0.9991382746065114
64,grad_orthogonal_control,increase,483,0.0010710441032096296,0.008789827071159549,0.2028985507246377,0.043478260869565216,0.9304939367051168,0.9304939367051168,0.9325553673379761,0.0012510623192362657,0.0012510623235217357,0.038332872347029326,0.013927651410148189,0.008637312113050946,0.99920691731276
64,random_control,decrease,483,0.013630157537193465,0.030943594185249907,0.9917184265010351,0.045548654244306416,0.9436064280784777,0.9436064280784777,0.935064935064935,0.0012416091348175604,0.001241609164258339,0.03936557509505211,0.01610883855608759,0.009818586978072686,1.0050386001232912
64,random_control,increase,483,0.012637136546360178,0.02981834976713279,0.937888198757764,0.045548654244306416,0.9475500345065563,0.9475500345065563,0.9363824581215886,0.0012579171704305307,0.0012579172036944338,0.039780138094775236,0.016358443113473536,0.009963839768210192,0.9936550116562662
128,accessible_ls,decrease,483,0.038356655634190696,0.08495445145607092,1.0,0.026915113871635612,0.9634230503795721,0.9634230503795721,0.9471735993475124,0.001231580395972653,0.001231580423730509,0.04028569829936836,0.01783446564936049,0.010682600322416672,1.015036454712499
128,accessible_ls,increase,483,0.03712498470236198,0.08370615446379197,1.0,0.026915113871635612,0.9546485260770975,0.9546485260770975,0.9485538615973399,0.0012693700649864764,0.0012693700751738959,0.04096095725932588,0.018022462331641863,0.010744523337846522,0.984234089707323
128,grad_orthogonal_control,decrease,483,0.001116158222898028,0.01107486944787764,0.772256728778468,0.055900621118012424,0.943113477274968,0.943113477274968,0.9365706757011105,0.0012506946713455242,0.0012506946872773398,0.03859101674583216,0.011953972120126322,0.007507357815472519,0.9994533137051961
128,grad_orthogonal_control,increase,483,0.0011107455288751403,0.011618049173011362,0.2277432712215321,0.033126293995859216,0.935127674258109,0.935127674258109,0.9390175042348956,0.0012493766374644549,0.001249376627531998,0.03859223443706019,0.011938185525895095,0.007513162293685703,0.9992544020082866
128,random_control,decrease,483,0.014635656839389517,0.035209876980344924,0.9875776397515528,0.045548654244306416,0.9461697722567288,0.9461697722567288,0.9314260618608444,0.0012415440537742282,0.0012415440620413816,0.03927800001333644,0.01388236969966952,0.008512012531899805,1.004560666161972
128,random_control,increase,483,0.01379946189954523,0.03455976780550456,0.9358178053830227,0.051759834368530024,0.940155772453909,0.940155772453909,0.9419662463140724,0.0012581821164568037,0.0012581820988718311,0.03970356521514332,0.014101020357791438,0.00865480135751549,0.9944670877570417
256,accessible_ls,decrease,483,0.040790545508794546,0.09564744496384801,1.0,0.028985507246376812,0.9594794439514936,0.9594794439514936,0.950875211744777,0.0012322313810863115,0.0012322314078009238,0.04012926659318778,0.016535386068060567,0.009786277742211783,1.012332534517983
256,accessible_ls,increase,483,0.03962361525030421,0.09446611662451229,1.0,0.028985507246376812,0.9589864931479839,0.9589864931479839,0.9476127736997302,0.0012687698319348557,0.0012687698198136197,0.04077270192302516,0.016683121397952305,0.009831072113713911,0.9870624632897183
256,grad_orthogonal_control,decrease,483,0.0011456061223825951,0.011856126159898561,0.7267080745341615,0.035196687370600416,0.950507739327615,0.950507739327615,0.9398331137461572,0.0012499810359280607,0.0012499810483631614,0.038419325503804815,0.010234651209805344,0.006620865762703497,0.9999575318780421
256,grad_orthogonal_control,increase,483,0.001138602753130858,0.012114726780172452,0.2732919254658385,0.053830227743271224,0.9406487232574189,0.9406487232574189,0.932806324110672,0.0012502378356031574,0.0012502378287583714,0.038410213942736214,0.010171429296582614,0.006612320495547122,0.9991025715190882
256,random_control,decrease,483,0.015485933763124408,0.03923449098706133,0.9937888198757764,0.033126293995859216,0.9475500345065563,0.9475500345065563,0.9434092477570739,0.0012426376807983413,0.0012426376974849448,0.03925240984386178,0.011574241662388244,0.007594166105823477,1.003629293239802
