contrast,metric,ci_low,median,ci_high
high_rho_route_vs_equal_output_energy_control,abs_delta_entropy,0.021874972260329396,0.023571882079209353,0.02529190216234541
high_rho_route_vs_equal_output_energy_control,abs_delta_varentropy,0.0290135312458076,0.033119703148654006,0.0374119035145186
high_rho_route_vs_equal_output_energy_control,output_drift,0.0,0.0,0.0
high_rho_route_vs_equal_output_energy_control,target_success_rate,0.0,0.0071428571428571175,0.022900763358778664
high_rho_route_vs_equal_output_energy_control,top10_preservation,0.017601010101010336,0.03131313131313135,0.0454545454545452
high_rho_route_vs_equal_output_energy_control,top1_changed_rate,0.0,0.019047619047619046,0.04285714285714286
high_rho_route_vs_gradient_orthogonal_route,abs_delta_entropy,0.043123479657104544,0.04557491203359295,0.048061570488930165
high_rho_route_vs_gradient_orthogonal_route,abs_delta_varentropy,0.05651819252314985,0.06232082336123555,0.0689344238495137
high_rho_route_vs_gradient_orthogonal_route,output_drift,0.0,0.0,0.0
high_rho_route_vs_gradient_orthogonal_route,target_success_rate,0.4087068126520681,0.503246890153911,0.5865208233349332
high_rho_route_vs_gradient_orthogonal_route,top10_preservation,0.019332611832611816,0.033910533910534,0.048632756132756076
high_rho_route_vs_gradient_orthogonal_route,top1_changed_rate,0.0,0.019047619047619046,0.04285714285714286
high_rho_route_vs_gradient_route,abs_delta_entropy,-0.00036445594392383056,0.0003141442414945593,0.0009292743600328378
high_rho_route_vs_gradient_route,abs_delta_varentropy,-0.000717506425964682,0.0010083164798019226,0.0029299575291477573
high_rho_route_vs_gradient_route,output_drift,0.0,0.0,0.0
high_rho_route_vs_gradient_route,target_success_rate,0.0,0.0,0.0
high_rho_route_vs_gradient_route,top10_preservation,-0.0051948051948051965,0.0034632034632035014,0.0121212121212122
high_rho_route_vs_gradient_route,top1_changed_rate,-0.014285714285714287,-0.004761904761904762,0.0
high_rho_route_vs_low_rho_route,abs_delta_entropy,0.018051719998276507,0.020633029448066057,0.02330709369502621
high_rho_route_vs_low_rho_route,abs_delta_varentropy,0.02387068964350774,0.0283970570784625,0.03336815195967203
high_rho_route_vs_low_rho_route,output_drift,0.0,0.0,0.0
high_rho_route_vs_low_rho_route,target_success_rate,0.0,0.0,0.0
high_rho_route_vs_low_rho_route,top10_preservation,0.006926406926407003,0.021645021645021578,0.03637085137085137
high_rho_route_vs_low_rho_route,top1_changed_rate,0.009523809523809525,0.03333333333333333,0.05714285714285715
high_rho_route_vs_random_route,abs_delta_entropy,0.00872903386338297,0.010942491380753986,0.013123855917635024
high_rho_route_vs_random_route,abs_delta_varentropy,0.010786875985193742,0.014950742900438907,0.019778555825589215
high_rho_route_vs_random_route,output_drift,0.0,0.0,0.0
high_rho_route_vs_random_route,target_success_rate,0.0,0.0,0.0
high_rho_route_vs_random_route,top10_preservation,-0.0029004329004329497,0.008513708513708473,0.02063492063492056
high_rho_route_vs_random_route,top1_changed_rate,-0.014285714285714287,-0.004761904761904762,0.0
