model,task,layer,subspace_family,k,sign,n,directional_rate,monotonic_abs_rate,entropy_slope_mean
bert-base-uncased,ambiguous_open,4,delta_pca,1,decrease,12,1.0,1.0,-0.20857337586469626
bert-base-uncased,ambiguous_open,4,delta_pca,1,increase,12,0.9166666666666666,0.9166666666666666,0.13176429221133965
bert-base-uncased,ambiguous_open,4,delta_pca,4,decrease,12,1.0,1.0,-0.4721903339861775
bert-base-uncased,ambiguous_open,4,delta_pca,4,increase,12,1.0,1.0,0.3785296681521871
bert-base-uncased,ambiguous_open,4,delta_pca,8,decrease,12,1.0,1.0,-0.5460495531180957
bert-base-uncased,ambiguous_open,4,delta_pca,8,increase,12,1.0,1.0,0.4612737458412899
bert-base-uncased,ambiguous_open,4,random,1,decrease,12,1.0,0.25,-0.22487668014580364
bert-base-uncased,ambiguous_open,4,random,1,increase,12,0.5833333333333334,0.25,0.1377386798909808
bert-base-uncased,ambiguous_open,4,random,4,decrease,12,1.0,0.16666666666666666,-0.4106780482480397
bert-base-uncased,ambiguous_open,4,random,4,increase,12,1.0,0.08333333333333333,0.317457253223762
bert-base-uncased,ambiguous_open,4,random,8,decrease,12,1.0,0.3333333333333333,-0.5177077963797732
bert-base-uncased,ambiguous_open,4,random,8,increase,12,1.0,0.5,0.44128851894620896
bert-base-uncased,ambiguous_open,4,state_pca,1,decrease,12,1.0,1.0,-0.22871447835757056
bert-base-uncased,ambiguous_open,4,state_pca,1,increase,12,0.75,0.9166666666666666,0.1395374091994516
bert-base-uncased,ambiguous_open,4,state_pca,4,decrease,12,1.0,1.0,-0.4506515175851016
bert-base-uncased,ambiguous_open,4,state_pca,4,increase,12,1.0,1.0,0.3563883843807221
bert-base-uncased,ambiguous_open,4,state_pca,8,decrease,12,1.0,1.0,-0.4993741491739812
bert-base-uncased,ambiguous_open,4,state_pca,8,increase,12,1.0,1.0,0.4813710899604589
bert-base-uncased,ambiguous_open,8,delta_pca,1,decrease,12,0.9166666666666666,0.9166666666666666,-0.25836888553236353
bert-base-uncased,ambiguous_open,8,delta_pca,1,increase,12,0.9166666666666666,0.75,0.2897280543344412
bert-base-uncased,ambiguous_open,8,delta_pca,4,decrease,12,1.0,1.0,-0.6611664763365871
bert-base-uncased,ambiguous_open,8,delta_pca,4,increase,12,1.0,1.0,0.6848839172941016
bert-base-uncased,ambiguous_open,8,delta_pca,8,decrease,12,1.0,1.0,-0.7584375567638424
bert-base-uncased,ambiguous_open,8,delta_pca,8,increase,12,1.0,1.0,0.8292946722176727
bert-base-uncased,ambiguous_open,8,random,1,decrease,12,1.0,0.16666666666666666,-0.2956032553473594
bert-base-uncased,ambiguous_open,8,random,1,increase,12,0.9166666666666666,0.25,0.3681380260571079
bert-base-uncased,ambiguous_open,8,random,4,decrease,12,1.0,0.5833333333333334,-0.6610669463507692
bert-base-uncased,ambiguous_open,8,random,4,increase,12,1.0,0.5,0.6913330914139554
bert-base-uncased,ambiguous_open,8,random,8,decrease,12,1.0,0.5833333333333334,-0.7210806729881178
bert-base-uncased,ambiguous_open,8,random,8,increase,12,1.0,0.5833333333333334,0.9072575209249393
bert-base-uncased,ambiguous_open,8,state_pca,1,decrease,12,0.9166666666666666,0.9166666666666666,-0.4153054182371098
bert-base-uncased,ambiguous_open,8,state_pca,1,increase,12,0.9166666666666666,1.0,0.443203971622282
bert-base-uncased,ambiguous_open,8,state_pca,4,decrease,12,1.0,1.0,-0.6362036111051946
bert-base-uncased,ambiguous_open,8,state_pca,4,increase,12,1.0,1.0,0.7102829852207303
bert-base-uncased,ambiguous_open,8,state_pca,8,decrease,12,1.0,1.0,-0.7298461784915796
bert-base-uncased,ambiguous_open,8,state_pca,8,increase,12,1.0,1.0,0.8813301133500162
bert-base-uncased,ambiguous_open,12,delta_pca,1,decrease,12,1.0,1.0,-0.4356038526783284
bert-base-uncased,ambiguous_open,12,delta_pca,1,increase,12,0.9166666666666666,0.8333333333333334,0.42358398144369436
bert-base-uncased,ambiguous_open,12,delta_pca,4,decrease,12,1.0,1.0,-0.6987827888188353
bert-base-uncased,ambiguous_open,12,delta_pca,4,increase,12,1.0,1.0,0.7142373201844574
bert-base-uncased,ambiguous_open,12,delta_pca,8,decrease,12,1.0,1.0,-0.8231706363978191
bert-base-uncased,ambiguous_open,12,delta_pca,8,increase,12,1.0,1.0,0.8894602687644899
bert-base-uncased,ambiguous_open,12,random,1,decrease,12,1.0,0.25,-0.33291471357213376
bert-base-uncased,ambiguous_open,12,random,1,increase,12,0.9166666666666666,0.08333333333333333,0.36925801677586384
bert-base-uncased,ambiguous_open,12,random,4,decrease,12,1.0,0.5,-0.6435569137300311
bert-base-uncased,ambiguous_open,12,random,4,increase,12,1.0,0.5,0.6405154549099528
bert-base-uncased,ambiguous_open,12,random,8,decrease,12,1.0,0.08333333333333333,-0.7184281916061522
bert-base-uncased,ambiguous_open,12,random,8,increase,12,1.0,0.5,0.9207390910755846
bert-base-uncased,ambiguous_open,12,state_pca,1,decrease,12,1.0,1.0,-0.4183404041203729
bert-base-uncased,ambiguous_open,12,state_pca,1,increase,12,1.0,1.0,0.4176599856904613
bert-base-uncased,ambiguous_open,12,state_pca,4,decrease,12,1.0,1.0,-0.650119132748966
bert-base-uncased,ambiguous_open,12,state_pca,4,increase,12,1.0,1.0,0.7105950872944659
bert-base-uncased,ambiguous_open,12,state_pca,8,decrease,12,1.0,1.0,-0.8312959925976102
bert-base-uncased,ambiguous_open,12,state_pca,8,increase,12,1.0,1.0,0.8807618592469443
bert-base-uncased,factual_deep,4,delta_pca,1,decrease,12,1.0,0.9166666666666666,-0.29498187617901506
bert-base-uncased,factual_deep,4,delta_pca,1,increase,12,1.0,1.0,0.2512359318174579
bert-base-uncased,factual_deep,4,delta_pca,4,decrease,12,1.0,1.0,-0.5730452852268271
bert-base-uncased,factual_deep,4,delta_pca,4,increase,12,1.0,1.0,0.5281254345034488
bert-base-uncased,factual_deep,4,delta_pca,8,decrease,12,1.0,1.0,-0.698976412557284
bert-base-uncased,factual_deep,4,delta_pca,8,increase,12,1.0,1.0,0.6825034780057068
bert-base-uncased,factual_deep,4,random,1,decrease,12,1.0,0.08333333333333333,-0.33082157600904855
bert-base-uncased,factual_deep,4,random,1,increase,12,0.9166666666666666,0.0,0.30373932951478405
bert-base-uncased,factual_deep,4,random,4,decrease,12,1.0,0.5,-0.5347482668229393
bert-base-uncased,factual_deep,4,random,4,increase,12,1.0,0.5,0.5305335395944208
bert-base-uncased,factual_deep,4,random,8,decrease,12,1.0,0.5,-0.686913619608441
bert-base-uncased,factual_deep,4,random,8,increase,12,1.0,0.5,0.6739421818523103
bert-base-uncased,factual_deep,4,state_pca,1,decrease,12,1.0,1.0,-0.30787801539912957
bert-base-uncased,factual_deep,4,state_pca,1,increase,12,1.0,1.0,0.26572519927868504
bert-base-uncased,factual_deep,4,state_pca,4,decrease,12,1.0,1.0,-0.5641229612839376
bert-base-uncased,factual_deep,4,state_pca,4,increase,12,1.0,1.0,0.5315200019633618
bert-base-uncased,factual_deep,4,state_pca,8,decrease,12,1.0,1.0,-0.6594387915948571
bert-base-uncased,factual_deep,4,state_pca,8,increase,12,1.0,1.0,0.6764605490552373
