model,item_id,task_type,layer,method,eps,objective,correct_before,pred_before,pred_after,gold,answer_preserved,correct_after,confidence_before,confidence_after,same_answer_confidence_after,gold_probability_before,gold_probability_after,wrong_confidence_reduced,correct_confidence_increased,overcorrection,p_after_A,p_after_B,p_after_C,p_after_D,outcome_group
Qwen/Qwen2.5-0.5B,0,math,12,accessible_rho,0.05,decrease_wrong_confidence,0,D,D,B,1,0,0.5410639478449963,0.5394005670437898,0.5394005670437898,0.02590600965759402,0.026233073498673282,1,0,0,0.183521800078175,0.026233073498673282,0.25084455937936184,0.5394005670437898,wrong_high
Qwen/Qwen2.5-0.5B,0,math,12,accessible_rho,0.1,decrease_wrong_confidence,0,D,D,B,1,0,0.5410639478449963,0.53687431420582,0.53687431420582,0.02590600965759402,0.026417991265010106,1,0,0,0.18409492390225737,0.026417991265010106,0.25261277062691245,0.53687431420582,wrong_high
Qwen/Qwen2.5-0.5B,0,math,12,accessible_rho,0.2,decrease_wrong_confidence,0,D,D,B,1,0,0.5410639478449963,0.5335341006306956,0.5335341006306956,0.02590600965759402,0.02708700892282767,1,0,0,0.18438445136244133,0.02708700892282767,0.25499443908403546,0.5335341006306956,wrong_high
Qwen/Qwen2.5-0.5B,0,math,12,accessible_rho,0.4,decrease_wrong_confidence,0,D,D,B,1,0,0.5410639478449963,0.5255814265218435,0.5255814265218435,0.02590600965759402,0.028293444335107023,1,0,0,0.1859434562570577,0.028293444335107023,0.26018167288599175,0.5255814265218435,wrong_high
Qwen/Qwen2.5-0.5B,0,math,12,low_rho,0.05,decrease_wrong_confidence,0,D,D,B,1,0,0.5410639478449963,0.5408122360460239,0.5408122360460239,0.02590600965759402,0.02609704658590143,1,0,0,0.18257018059324395,0.02609704658590143,0.25052053677483066,0.5408122360460239,wrong_high
Qwen/Qwen2.5-0.5B,0,math,12,low_rho,0.1,decrease_wrong_confidence,0,D,D,B,1,0,0.5410639478449963,0.5406117356249728,0.5406117356249728,0.02590600965759402,0.02618947446639725,1,0,0,0.18179098483090703,0.02618947446639725,0.2514078050777229,0.5406117356249728,wrong_high
Qwen/Qwen2.5-0.5B,0,math,12,low_rho,0.2,decrease_wrong_confidence,0,D,D,B,1,0,0.5410639478449963,0.5408280791041661,0.5408280791041661,0.02590600965759402,0.026508791821036836,1,0,0,0.1811547149357781,0.026508791821036836,0.251508414139019,0.5408280791041661,wrong_high
Qwen/Qwen2.5-0.5B,0,math,12,low_rho,0.4,decrease_wrong_confidence,0,D,D,B,1,0,0.5410639478449963,0.5400273141150009,0.5400273141150009,0.02590600965759402,0.027097249275194624,1,0,0,0.17877910079497125,0.027097249275194624,0.2540963358148332,0.5400273141150009,wrong_high
Qwen/Qwen2.5-0.5B,0,math,12,projected_gradient,0.05,decrease_wrong_confidence,0,D,D,B,1,0,0.5410639478449963,0.4765607978573868,0.4765607978573868,0.02590600965759402,0.027631020079334413,1,0,0,0.20900884204814285,0.027631020079334413,0.2867993400151359,0.4765607978573868,wrong_high
Qwen/Qwen2.5-0.5B,0,math,12,projected_gradient,0.1,decrease_wrong_confidence,0,D,D,B,1,0,0.5410639478449963,0.41290872110065696,0.41290872110065696,0.02590600965759402,0.02899074248156134,1,0,0,0.23526829746476519,0.02899074248156134,0.32283223895301655,0.41290872110065696,wrong_high
