source,direction,sign,n,selected_top1_changed_rate,target_correct_changed_rate,top5_jaccard_mean,top10_jaccard_mean,selected_kl_mean
decoder_main,accessible_ls,decrease,108,0.0,0.0,0.9722222222222222,0.9447250280583614,
decoder_main,accessible_ls,increase,108,0.027777777777777776,0.0,0.9722222222222222,0.9511784511784512,
decoder_main,grad_orthogonal_control,decrease,108,0.037037037037037035,0.0,0.9175485008818342,0.936307519640853,
decoder_main,grad_orthogonal_control,increase,108,0.018518518518518517,0.0,0.9422398589065255,0.9225589225589226,
decoder_main,random_control,decrease,108,0.05555555555555555,0.0,0.9537037037037037,0.92003367003367,
decoder_main,random_control,increase,108,0.0,0.0,0.9382716049382716,0.941638608305275,
mlm_topk32,accessible_ls,decrease,483,0.024844720496894408,0.0,0.9592822636300897,0.9528828659263442,0.0012272709016256035
mlm_topk32,accessible_ls,increase,483,0.020703933747412008,0.0,0.9613526570048309,0.948428383210992,0.0012738928217672107
mlm_topk32,grad_orthogonal_control,decrease,483,0.037267080745341616,0.0,0.9367051168293404,0.9290274942448856,0.0012494521751742326
mlm_topk32,grad_orthogonal_control,increase,483,0.047619047619047616,0.0,0.9348319037760031,0.9338728903946295,0.0012509763825987062
mlm_topk32,random_control,decrease,483,0.047619047619047616,0.0,0.9427191166321601,0.929857582031495,0.001238208527165135
mlm_topk32,random_control,increase,483,0.037267080745341616,0.0,0.940550133096717,0.9323526714831063,0.0012613064411536995
