source,subspace_family,sign,control,metric,accessible,control_value,accessible_minus_control,accessible_over_control
decoder_main,delta_pca,decrease,random_control,entropy_efficiency_mean,0.8331870439739988,0.40390260198449973,0.42928444198949905,2.062841486735392
decoder_main,delta_pca,decrease,random_control,varentropy_efficiency_mean,1.239771691935253,0.7785561946344709,0.46121549730078215,1.5923984684462258
decoder_main,delta_pca,decrease,grad_orthogonal_control,entropy_efficiency_mean,0.8331870439739988,0.12314435787001904,0.7100426861039797,6.765937623008615
decoder_main,delta_pca,decrease,grad_orthogonal_control,varentropy_efficiency_mean,1.239771691935253,0.45223061851191926,0.7875410734233338,2.741458983946654
decoder_main,delta_pca,increase,random_control,entropy_efficiency_mean,0.9056364734960495,0.42731289485925805,0.4783235786367914,2.1193754843142156
decoder_main,delta_pca,increase,random_control,varentropy_efficiency_mean,1.4170206047482283,0.7096158140361312,0.7074047907120972,1.9968841966592343
decoder_main,delta_pca,increase,grad_orthogonal_control,entropy_efficiency_mean,0.9056364734960495,0.08317559753684628,0.8224608759592031,10.888247278233957
decoder_main,delta_pca,increase,grad_orthogonal_control,varentropy_efficiency_mean,1.4170206047482283,0.4602221186806619,0.9567984860675665,3.0789928324402593
decoder_main,random,decrease,random_control,entropy_efficiency_mean,0.8061486345096774,0.36523246153998257,0.4409161729696949,2.2072206591675783
decoder_main,random,decrease,random_control,varentropy_efficiency_mean,1.1437017936348495,0.590613773766429,0.5530880198684205,1.9364631243550225
decoder_main,random,decrease,grad_orthogonal_control,entropy_efficiency_mean,0.8061486345096774,0.09351165757065844,0.7126369769390191,8.620835684583419
decoder_main,random,decrease,grad_orthogonal_control,varentropy_efficiency_mean,1.1437017936348495,0.5143806966332731,0.6293210970015763,2.2234539536973523
decoder_main,random,increase,random_control,entropy_efficiency_mean,0.9334091359384463,0.4022251227127763,0.53118401322567,2.32061371413884
decoder_main,random,increase,random_control,varentropy_efficiency_mean,1.466246848942355,0.7067436899111027,0.7595031590312523,2.0746514894625885
decoder_main,random,increase,grad_orthogonal_control,entropy_efficiency_mean,0.9334091359384463,0.08733142021049661,0.8460777157279498,10.688125003448155
decoder_main,random,increase,grad_orthogonal_control,varentropy_efficiency_mean,1.466246848942355,0.3777507031048224,1.0884961458375326,3.8815198407069142
decoder_main,state_pca,decrease,random_control,entropy_efficiency_mean,0.849420821582216,0.4205595069894738,0.4288613145927422,2.0197399118681107
decoder_main,state_pca,decrease,random_control,varentropy_efficiency_mean,1.2552780294608243,0.8105973399229169,0.4446806895379074,1.5485839486966413
