domain,target_review_cost,contrast,metric,rho,control,delta_rho_minus_control
medical_breast_cancer,0.17,rho_fixed_review_vs_entropy_fixed_review,review_cost,0.16695957820738136,0.16695957820738136,0.0
medical_breast_cancer,0.17,rho_fixed_review_vs_entropy_fixed_review,coverage,0.8330404217926186,0.8330404217926186,0.0
medical_breast_cancer,0.17,rho_fixed_review_vs_entropy_fixed_review,automatic_accuracy,0.9845288326300985,0.9950773558368495,-0.010548523206751037
medical_breast_cancer,0.17,rho_fixed_review_vs_entropy_fixed_review,error_on_non_deferred,0.015471167369901548,0.004922644163150493,0.010548523206751054
medical_breast_cancer,0.17,rho_fixed_review_vs_entropy_fixed_review,safe_decision_rate,0.987111892208553,0.9958992384299942,-0.008787346221441172
medical_breast_cancer,0.17,rho_fixed_review_vs_entropy_fixed_review,reviewed_error_rate,0.09473684210526316,0.14736842105263157,-0.052631578947368404
medical_breast_cancer,0.17,rho_fixed_review_vs_entropy_fixed_review,deferred_error_capture,0.5510204081632653,0.8571428571428571,-0.30612244897959184
medical_breast_cancer,0.17,rho_fixed_review_vs_gradient_fixed_review,review_cost,0.16695957820738136,0.16695957820738136,0.0
medical_breast_cancer,0.17,rho_fixed_review_vs_gradient_fixed_review,coverage,0.8330404217926186,0.8330404217926186,0.0
medical_breast_cancer,0.17,rho_fixed_review_vs_gradient_fixed_review,automatic_accuracy,0.9845288326300985,0.9950773558368495,-0.010548523206751037
medical_breast_cancer,0.17,rho_fixed_review_vs_gradient_fixed_review,error_on_non_deferred,0.015471167369901548,0.004922644163150493,0.010548523206751054
medical_breast_cancer,0.17,rho_fixed_review_vs_gradient_fixed_review,safe_decision_rate,0.987111892208553,0.9958992384299942,-0.008787346221441172
medical_breast_cancer,0.17,rho_fixed_review_vs_gradient_fixed_review,reviewed_error_rate,0.09473684210526316,0.14736842105263157,-0.052631578947368404
medical_breast_cancer,0.17,rho_fixed_review_vs_gradient_fixed_review,deferred_error_capture,0.5510204081632653,0.8571428571428571,-0.30612244897959184
medical_breast_cancer,0.17,rho_fixed_review_vs_jacobian_fixed_review,review_cost,0.16695957820738136,0.16695957820738136,0.0
medical_breast_cancer,0.17,rho_fixed_review_vs_jacobian_fixed_review,coverage,0.8330404217926186,0.8330404217926186,0.0
medical_breast_cancer,0.17,rho_fixed_review_vs_jacobian_fixed_review,automatic_accuracy,0.9845288326300985,0.9964838255977496,-0.011954992967651124
medical_breast_cancer,0.17,rho_fixed_review_vs_jacobian_fixed_review,error_on_non_deferred,0.015471167369901548,0.0035161744022503515,0.011954992967651196
medical_breast_cancer,0.17,rho_fixed_review_vs_jacobian_fixed_review,safe_decision_rate,0.987111892208553,0.997070884592853,-0.00995899238429998
medical_breast_cancer,0.17,rho_fixed_review_vs_jacobian_fixed_review,reviewed_error_rate,0.09473684210526316,0.1543859649122807,-0.05964912280701755
medical_breast_cancer,0.17,rho_fixed_review_vs_jacobian_fixed_review,deferred_error_capture,0.5510204081632653,0.8979591836734694,-0.34693877551020413
medical_breast_cancer,0.19,rho_fixed_review_vs_entropy_fixed_review,review_cost,0.19156414762741653,0.19156414762741653,0.0
medical_breast_cancer,0.19,rho_fixed_review_vs_entropy_fixed_review,coverage,0.8084358523725835,0.8084358523725835,0.0
medical_breast_cancer,0.19,rho_fixed_review_vs_entropy_fixed_review,automatic_accuracy,0.9840579710144928,0.9956521739130435,-0.011594202898550732
medical_breast_cancer,0.19,rho_fixed_review_vs_entropy_fixed_review,error_on_non_deferred,0.015942028985507246,0.004347826086956522,0.011594202898550725
medical_breast_cancer,0.19,rho_fixed_review_vs_entropy_fixed_review,safe_decision_rate,0.987111892208553,0.9964850615114236,-0.009373169302870576
medical_breast_cancer,0.19,rho_fixed_review_vs_entropy_fixed_review,reviewed_error_rate,0.08256880733944955,0.13149847094801223,-0.048929663608562685
medical_breast_cancer,0.19,rho_fixed_review_vs_entropy_fixed_review,deferred_error_capture,0.5510204081632653,0.8775510204081632,-0.326530612244898
medical_breast_cancer,0.19,rho_fixed_review_vs_gradient_fixed_review,review_cost,0.19156414762741653,0.19156414762741653,0.0
medical_breast_cancer,0.19,rho_fixed_review_vs_gradient_fixed_review,coverage,0.8084358523725835,0.8084358523725835,0.0
medical_breast_cancer,0.19,rho_fixed_review_vs_gradient_fixed_review,automatic_accuracy,0.9840579710144928,0.9956521739130435,-0.011594202898550732
medical_breast_cancer,0.19,rho_fixed_review_vs_gradient_fixed_review,error_on_non_deferred,0.015942028985507246,0.004347826086956522,0.011594202898550725
medical_breast_cancer,0.19,rho_fixed_review_vs_gradient_fixed_review,safe_decision_rate,0.987111892208553,0.9964850615114236,-0.009373169302870576
